127.0.0.1 - - [25/Jun/2018:14:08:30 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:08:31 +0700] "GET /QLSinhVien/WEB-INF/classes/Model/QuanLiSinhVienSQL.java HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:08:40 +0700] "GET /QLSinhVien/ListSinhVien/* HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:08:46 +0700] "GET /QLSinhVien/ListSinhVien/List?lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:08:47 +0700] "GET /QLSinhVien/ListSinhVien/List?lang=Resource_en_US HTTP/1.1" 200 3619
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:08:49 +0700] "GET /QLSinhVien/ListSinhVien/List?lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:08:54 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:09:00 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:04 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:06 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:07 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:20 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:31 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:31 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:31 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:31 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:31 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:33 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:35 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:38 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:42 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:50 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:55 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:55 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:57 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:25:59 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:26:01 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:26:02 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:26:04 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:26:05 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2809
